관리번호,도로명주소,지번주소,건물명/사례명,용도,매매년월,매매금액(억원),대지면적(㎡),연면적(㎡),토지평단가(만원/평),연면적평단가(만원/평),위도,경도,표시여부,비고,,,,
G-001,서울특별시 서초구 사평대로55길 65-3,서울특별시 서초구 반포동 734-6,MW-STAY,수익용상가주택,2016.04,28,234.3,0,"3,951",,,,Y,,,,,
G-002,서울특별시 서초구 사평대로57길 34,서울특별시 서초구 반포동 737-7,신축부지,스몰웨딩 신축부지,2024.03,200,617.5,0,"10,707",,,,Y,,,,,
G-003,서울특별시 서초구 방배로15길 7,서울특별시 서초구 방배동 924-19,위니드빌딩,수익용빌딩,2023.1,102,288.1,869.8,"11,704","3,877",,,Y,,,,,
G-004,경기도 성남시 분당구 돌마로 67,경기도 성남시 분당구 금곡동 157,금산잼월드101호 ,수익용 분양상가,2014.02,37.5,,182,,"6,820",,,Y,,,,,
G-005,서울특별시 강남구 봉은사로 217,서울특별시 강남구 논현동 235-14,한주사옥,사옥 신축부지,2018.01,153,543.1,,"9,313",,,,Y,,,,,
G-006,서울특별시 서초구 방배로 225,서울특별시 서초구 방배동 795-21,가야병원,병원,2015.08,94,630.3,"2,580.00","4,930","1,204",,,Y,,,,,
G-007,서울특별시 서초구 사평대로 57길42,서울특별시 서초구 반포동 737-6,골든빌리지,임대수익용 주택,2016.09,57,341.9,650.6,"5,511","2,896",,,Y,,,,,
G-008,서울특별시 서초구 서초대로77길 61,서울특별시 서초구 서초동 1309 ,신축부지,수익용 빌딩 신축부지,2013.11,183,568.2,,"10,647",,,,Y,,,,,
G-009,경기도 남양주시 별내5로 5번길7,경기도 남양주시 별내동 1097-3,영주프라자,임대수익용,2018.02,127,995.7,"5,660.50","4,216",742,,,Y,,,,,
G-010,서울특별시 송파구 송파대로49길 37,서울특별시 송파구 석촌동 52-9 ,신축부지,사옥용 빌딩,2009.07,42,595,,"2,334",,,,Y,,,,,
G-011,서울특별시 서초구 사평대로 57길63-3 ,서울특별시 서초구 반포동 735-17,위닝사옥,사옥,2021.11,50,169.3,354,"9,763","4,669",,,Y,,,,,fb
G-012,,충청북도 음성군 감곡면 오향리 379-1,과수원,과수원,2009.05,22.3,"24,595",,30,,,,Y,,,,,
G-013,서울특별시 강남구 학동로25길 14,서울특별시 강남구 논현동 37-1 ,현등빌딩,임대수익,2012.08,40.3,312.9,898.5,"4,258","1,483",,,Y,,,,,
G-014,서울특별시 영등포구 영중로4길 9,서울특별시 영등포구 영등포동 3가 20,서울호텔,호텔,2011.07,111,928,"4,428.80","3,954",829,,,Y,,,,,
G-015,서울특별시 강남구 강남대로98길 19,서울특별시 강남구 역삼동 620-10,경매,신축부지,2007.06,33,548.3,,"1,990",,,,Y,,,,,
G-016,서울특별시 서초구 강남대로79길 32,서울특별시 서초구 반포동 739-32,오성빌딩,신축부지,2014.1,32,307.5,,"3,440",,,,Y,,,,,
G-017,서울특별시 서초구 강남대로 489,서울특별시 서초구 반포동 737-10,신축부지,병의원,2007.05,130,608.1,,"7,067",,,,Y,,,,,
G-018,서울특별시 송파구 백제고분로33길 4,서울특별시 송파구 석촌동 16-5,성화빌딩,투자수익,2011.07,27,278.9,676,"3,200","1,320",,,Y,,,,,
G-019,서울특별시 서초구 강남대로83길 56-6,서울특별시 서초구 반포동 733-43,다가구주택,투자수익,2017.07,22.5,183.7,385,"4,049","1,932",,,Y,,,,,
G-020,서울특별시 서초구 강남대로85길 17,서울특별시 서초구 반포동 735-11,상가주택,투자수익,2020.06,41.8,210.8,739.5,"6,555","1,869",,,Y,,,,,
G-021,서울특별시 마포구 신촌로12길 4,서울특별시 마포구 동교동 185-6,금강상조사옥,사옥,2009.12,59.5,736.6,"2,402.60","2,670",819,,,Y,,,,,
G-022,서울특별시 송파구 삼학사로 53,서울특별시 송파구 삼전동180-8,태영빌딩,임대수익,2015.07,103,714.5,"3,042.10","4,766","1,119",,,Y,,,,,
G-023,서울특별시 서초구 사평대로57길 34,서울특별시 서초구 반포동 737-7,아미재빌딩,투자수익,2011.07,51.5,345.6,,"4,926",,,,Y,,,,,
G-024,서울특별시 서초구 방배중앙로 156,서울특별시 서초구 방배동 777-20,상가빌딩,투자수익,2012.02,37.5,215,583.4,"5,766","2,125",,,Y,,,,,
G-025,서울특별시 강남구 언주로90길 28,서울특별시 강남구 역삼동 707-10,태양빌딩,임대수익,2007.07,78.8,310.5,"1,865.30","8,390","1,397",,,Y,,,,,
G-026,서울특별시 강남구 학동로2길 50,서울특별시 강남구 논현동 164-16,명성빌딩,투자수익,2022.03,250,495,"1,662","16,686","4,974",,,Y,,,,,
G-027,서울특별시 서초구 강남대로79길 22,서울특별시 서초구 반포동 738-45,금윤빌딩,투자수익,2009.06,22,111.3,169,"6,534","4,302",,,Y,,,,,
G-028,서울특별시 서초구 사평대로55길 20,서울특별시 서초구 반포동 738-41,선인빌딩,투자수익,2021.01,75,302,636,"8,218","3,900",,,Y,,,,,
G-029,서울특별시 서초구 사평대로55길 37,서울특별시 서초구 반포동 739-35,신축부지,사옥,2020.01,80,373.5,,"7,081",,,,Y,,,,,
G-030,서울특별시 서초구 사평대로55길 37,서울특별시 서초구 반포동 739-35,신축부지,사옥,2021.12,113,373.5,,"10,001",,,,Y,,,,,
G-031,경기도 성남시 분당구 정자일로 100,경기도 성남시 분당구 정자동180,미켈란쉐르빌 506~510호,수익용 분양상가,2019.12,15.8,92.8,513.9,"5,627","1,016",,,Y,,,,,
G-032,경기도 성남시 분당구 정자일로 100,경기도 성남시 분당구 정자동180,미켈란쉐르빌 506~510호,수익용 분양상가,2016.1,12,92.8,513.9,"4,273",772,,,Y,,,,,
G-033,경기도 부천시 원미구 부일로221번길 52,경기도 부천시 원미구 상동 453-1,정진빌딩,청솔이투스학원,2005.06,27,487,"2,636","1,832",339,,,Y,,,,,
G-034,서울특별시 서초구 강남대로79길 53,서울특별시 서초구 반포동 746-7,금영빌딩,사옥,2008.06,53,333,"1,225","5,269","1,430",,,Y,,,,,
G-035,서울특별시 서초구 강남대로79길 59,서울특별시 서초구 반포동 746-8,새로나빌딩,신축부지,2006.12,80,776,0,"3,410",,,,Y,,,,,
G-036,서울특별시 서초구 사평대로55길 51-3,서울특별시 서초구 반포동 734-24,다가구주택,투자수익,2017.1,17.5,133,249,"4,366","2,321",,,Y,,,,,
G-037,서울특별시 서초구 강남대로79길 21,서울특별시 서초구 반포동 747-1,송화유수,투자수익,2018.12,51,211,293,"7,979","5,748",,,Y,,,,,
G-038,서울특별시 서초구 사평대로 369,서울특별시 서초구 반포동 747-14,유성빌딩,투자수익,2005.04,98,759.4,"1,941.90","4,266","1,668",,,Y,,,,,
G-039,서울특별시 서초구 사평대로57길 21-4,서울특별시 서초구 반포동 738-35,스타스테이,투자수익,2017.09,28,252,547,"3,673","1,691",,,Y,,,,,
G-040,서울특별시 서초구 강남대로79길 2,서울특별시 서초구 반포동 737-19,에이비성형외과,신축부지,2025.07,540,502,,"35,553",,,,Y,,,,,
G-041,서울특별시 서초구 사평대로 353,서울특별시 서초구 반포동 746-5,서일빌딩504호,투자수익 분양상가,2025.02,6.5,38.5,123.6,"5,578","1,739",,,Y,,,,,
G-042,서울특별시 서초구 사평대로 353,서울특별시 서초구 반포동 746-5,서일빌딩 지하5호,투자수익 분양상가,2025.11,3.6,36.1,115,"3,301","1,035",,,Y,,,,,
